Cidade,Data,Dia,Temp_Max,Temp_Min,Condicao,Precipitacao
Pouso Alegre,2025-02-08,Hoje,88,62,Parcialmente soalheiro,5
Pouso Alegre,2025-02-09,domingo,86,64,Nebulosidade variável,4
Pouso Alegre,2025-02-10,segunda,84,64,Trovoada em partes da zona,41
Pouso Alegre,2025-02-11,terça,85,63,Com períodos nublados,25
Pouso Alegre,2025-02-12,quarta,85,63,Parcialmente soalheiro,25
Pouso Alegre,2025-02-13,quinta,87,65,Parcialmente soalheiro,4
Pouso Alegre,2025-02-14,sexta,86,64,Maioritariamente nublado,25
Pouso Alegre,2025-02-15,sábado,85,65,Nuvens e sol,25
Pouso Alegre,2025-02-16,domingo,86,64,Nuvens e sol,4
Pouso Alegre,2025-02-17,segunda,90,66,Parcialmente soalheiro,25
Machado,2025-02-08,Hoje,89,62,Nuvens e sol,3
Machado,2025-02-09,domingo,86,65,Trovoada em partes da zona,40
Machado,2025-02-10,segunda,84,64,Chuvas e trovoadas ocasionais,70
Machado,2025-02-11,terça,85,64,Trovoada em partes da zona,40
Machado,2025-02-12,quarta,86,64,Nuvens e sol,25
Machado,2025-02-13,quinta,87,66,Nuvens e sol,3
Machado,2025-02-14,sexta,85,67,Maioritariamente com sol,8
Machado,2025-02-15,sábado,88,67,Parcialmente soalheiro,6
Machado,2025-02-16,domingo,89,67,Maioritariamente com sol,3
Machado,2025-02-17,segunda,93,68,Parcialmente soalheiro,25
Alfenas,2025-02-08,Hoje,91,64,Nuvens e sol,3
Alfenas,2025-02-09,domingo,87,67,Trovoada em partes da zona,40
Alfenas,2025-02-10,segunda,86,66,Chuvas e trovoadas ocasionais,60
Alfenas,2025-02-11,terça,86,65,Parcialmente soalheiro,25
Alfenas,2025-02-12,quarta,87,66,Parcialmente soalheiro,3
Alfenas,2025-02-13,quinta,88,69,Nuvens e sol,2
Alfenas,2025-02-14,sexta,86,68,Maioritariamente com sol,8
Alfenas,2025-02-15,sábado,89,67,Maioritariamente com sol,25
Alfenas,2025-02-16,domingo,89,68,Parcialmente soalheiro,25
Alfenas,2025-02-17,segunda,94,69,Trovoada em partes da zona,40
Itajuba,2025-02-08,Hoje,86,59,Aguaceiro ou trovoada,40
Itajuba,2025-02-09,domingo,84,63,Nuvens e sol,4
Itajuba,2025-02-10,segunda,82,63,Trovoada em partes da zona,42
Itajuba,2025-02-11,terça,82,61,Aguaceiro ou trovoada,41
Itajuba,2025-02-12,quarta,82,62,Maioritariamente com sol,25
Itajuba,2025-02-13,quinta,84,63,Parcialmente soalheiro,3
Itajuba,2025-02-14,sexta,82,62,Trovoada em partes da zona,41
Itajuba,2025-02-15,sábado,82,62,Trovoada em partes da zona,40
Itajuba,2025-02-16,domingo,82,62,Parcialmente soalheiro,3
Itajuba,2025-02-17,segunda,87,63,Parcialmente soalheiro,25
Campinas,2025-02-08,Hoje,87,67,Trovoada em partes da zona,40
Campinas,2025-02-09,domingo,89,69,Nuvens e sol,1
Campinas,2025-02-10,segunda,87,70,Trovoada em partes da zona,58
Campinas,2025-02-11,terça,89,69,Parcialmente soalheiro,4
Campinas,2025-02-12,quarta,91,70,Maioritariamente com sol,2
Campinas,2025-02-13,quinta,90,70,Parcialmente soalheiro,25
Campinas,2025-02-14,sexta,88,69,Períodos de chuva,70
Campinas,2025-02-15,sábado,88,69,Maioritariamente com sol,7
Campinas,2025-02-16,domingo,88,69,Maioritariamente com sol,7
Campinas,2025-02-17,segunda,90,70,Nuvens e sol,25
